,address,city_area,city_district,geo_lat,geo_lon,street_with_type,location
3082,"город Москва, 2-я Фрунзенская улица, дом 7А",,Хамовники,,,ул Фрунзенская 2-я,Хамовники
3083,"город Москва, Гагаринский переулок, дом 20, строение 1",Центральный,Хамовники,55.7451239,37.5925115,Гагаринский пер,
3084,"город Москва, 1-й Неопалимовский переулок, дом 10, строение 10",Центральный,Хамовники,55.7418934,37.5806279,пер Неопалимовский 1-й,
3085,"город Москва, 1-й переулок Тружеников, дом 12, строение 4",Центральный,Хамовники,55.7381729,37.5724088,пер Тружеников 1-й,
3086,"город Москва, 1-й переулок Тружеников, дом 18",Центральный,Хамовники,55.7369281,37.571416,пер Тружеников 1-й,
3087,"город Москва, улица Пречистенка, дом 12/2, строение 8",Центральный,Хамовники,55.7438944,37.5978085,ул Пречистенка,
3088,"город Москва, улица Савельева, дом 5",,Хамовники,,,ул Савельева,Хамовники
3089,"город Москва, переулок Хользунова, дом 8",,Хамовники,,,пер Хользунова,Хамовники
3090,"город Москва, улица Хамовнический Вал, дом 26",,Хамовники,,,ул Хамовнический Вал,Хамовники
3091,"город Москва, Усачёва улица, дом 22",,Хамовники,,,ул Усачёва,Хамовники
3092,"город Москва, Красная площадь, дом 3",Центральный,Тверской,55.7545615,37.6217053,Красная пл,
